id,term,definition,source,url_source,explanation,source_explanation,url_source_explanation,key
1,3D,Trois dimensions (volumes),DGOS,http://www.metiers-fonctionpubliquehospitaliere.sante.gouv.fr/Lexique-des-abreviations-ou-sigles.html,,,,3dtroisdimensionsvolumes
5658,AAA,Acte Auto-Agressif,Denis Merigoux,https://gist.github.com/ColinMaudry/fe30f024d3cea20d1f6ccd579d9acd3f#file-gendarmerie-csv,,,,aaaacteautoagressif
5659,AAB,Atteinte Aux Biens,Denis Merigoux,https://gist.github.com/ColinMaudry/fe30f024d3cea20d1f6ccd579d9acd3f#file-gendarmerie-csv,,,,aabatteinteauxbiens
2,AAE,Architectes associés pour l'environnement,M. Lafay - CCE-LR,http://www.cce-lrv.com/documents/images/general_photos/151_Fichier.pdf,,,,aaearchitectesassociéspourlenvironnement
3,AAEXA,Assurance accident des exploitants agricoles,Sénat,https://www.senat.fr/histoire/sigles.html,,,,aaexaassuranceaccidentdesexploitantsagricoles
4,AAF,Académie d'agriculture de France,M. Lafay - CCE-LR,http://www.cce-lrv.com/documents/images/general_photos/151_Fichier.pdf,,,,aafacadémiedagriculturedefrance
6,AAH,Allocation aux adultes handicapés,Sénat,https://www.senat.fr/histoire/sigles.html,,,,aahallocationauxadulteshandicapés
10,AAI,Autorités administratives indépendantes,Sénat,https://www.senat.fr/histoire/sigles.html,,,,aaiautoritésadministrativesindépendantes
12,AAP,Administration d'affichage et de publicité.,M. Lafay - CCE-LR,http://www.cce-lrv.com/documents/images/general_photos/151_Fichier.pdf,,,,aapadministrationdaffichageetdepublicité
5660,AAP,Adjoint Administratif Principal,Denis Merigoux,https://gist.github.com/ColinMaudry/fe30f024d3cea20d1f6ccd579d9acd3f#file-gendarmerie-csv,,,,aapadjointadministratifprincipal
13,AAPC,Avis d'appel public à la concurrence,marche-public.fr,http://www.marche-public.fr/Marches-publics/Definitions/Marches-publics-Sigles.htm,,,,aapcavisdappelpublicàlaconcurrence
17,AAPPMA,Association agréée pour la pêche et la protection du milieu aquatique.,M. Lafay - CCE-LR,http://www.cce-lrv.com/documents/images/general_photos/151_Fichier.pdf,,,,aappmaassociationagrééepourlapêcheetlaprotectiondumilieuaquatique
18,AASQUA,Association agréé de surveillance de la qualité de l'air,M. Lafay - CCE-LR,http://www.cce-lrv.com/documents/images/general_photos/151_Fichier.pdf,,,,aasquaassociationagréédesurveillancedelaqualitédelair
19,AASU,Attaché-d’Aministration-Scolaire et Universitaire,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/,,,,aasuattachédaministrationscolaireetuniversitaire
20,AAT,Avis d’arrêt de travail,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/,,,,aatavisdarrêtdetravail
21,AATF,Association des administrateurs territoriaux de France,CNLES,https://www.cnle.gouv.fr/Sigles-de-l-Administration.html,,,,aatfassociationdesadministrateursterritoriauxdefrance
22,AAVR,Association d'aide aux victimes de la route.,M. Lafay - CCE-LR,http://www.cce-lrv.com/documents/images/general_photos/151_Fichier.pdf,,,,aavrassociationdaideauxvictimesdelaroute
23,AB,Agriculture biologique.,M. Lafay - CCE-LR,http://www.cce-lrv.com/documents/images/general_photos/151_Fichier.pdf,,,,abagriculturebiologique
16,ABF,Architecte des bâtiments de France.,M. Lafay - CCE-LR,http://www.cce-lrv.com/documents/images/general_photos/151_Fichier.pdf,,,,abfarchitectedesbâtimentsdefrance
24,ABF,Association des bibliothécaires français,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/,,,,abfassociationdesbibliothécairesfrançais
26,ABS,Analyse Des Besoins Sociaux,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/,,,,absanalysedesbesoinssociaux
25,AC,Administrateur civil.,M. Lafay - CCE-LR,http://www.cce-lrv.com/documents/images/general_photos/151_Fichier.pdf,,,,acadministrateurcivil
27,AC,Allocation compensatrice,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/,,,,acallocationcompensatrice
28,AC,Appellation contrôlée.,M. Lafay - CCE-LR,http://www.cce-lrv.com/documents/images/general_photos/151_Fichier.pdf,,,,acappellationcontrôlée
29,AC,Autorité de certification ,marche-public.fr,http://www.marche-public.fr/Marches-publics/Definitions/Marches-publics-Sigles.htm,[dématérialisation des procédures] CA Certification Authority,,,acautoritédecertification
5661,AC,Avoirs Criminels,Denis Merigoux,https://gist.github.com/ColinMaudry/fe30f024d3cea20d1f6ccd579d9acd3f#file-gendarmerie-csv,,,,acavoirscriminels
30,ACA,Allocation Chômeur Agé,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/,,,,acaallocationchômeuragé
31,ACA,Association coopération et aménagement.,M. Lafay - CCE-LR,http://www.cce-lrv.com/documents/images/general_photos/151_Fichier.pdf,,,,acaassociationcoopérationetaménagement
33,ACAATA,Allocation de cessation anticipée d'activité des travailleurs de l'amiante,Sénat,https://www.senat.fr/histoire/sigles.html,,,,acaataallocationdecessationanticipéedactivitédestravailleursdelamiante
34,ACBUS,Accord de bon usage des soins,Sénat,https://www.senat.fr/histoire/sigles.html,,,,acbusaccorddebonusagedessoins
36,ACCA,Associations communales de chasse agréées,Sénat,https://www.senat.fr/histoire/sigles.html,,,,accaassociationscommunalesdechasseagréées
5662,ACCIMADA,ACCIdent de transport de MAtières DAngereuses,Denis Merigoux,https://gist.github.com/ColinMaudry/fe30f024d3cea20d1f6ccd579d9acd3f#file-gendarmerie-csv,,,,accimadaaccidentdetransportdematièresdangereuses
5663,ACCITRAPU,ACCIdent de TRAnsport PUblic de personnes,Denis Merigoux,https://gist.github.com/ColinMaudry/fe30f024d3cea20d1f6ccd579d9acd3f#file-gendarmerie-csv,,,,accitrapuaccidentdetransportpublicdepersonnes
38,ACCORD,"Application coordonée de comptabilisation, d’ordonnancement et de reglement de la dépense de l’État.",CNLES,https://www.cnle.gouv.fr/Sigles-de-l-Administration.html,,,,accordapplicationcoordonéedecomptabilisation
5664,ACCR,Accident Corporel de la Circulation Routière,Denis Merigoux,https://gist.github.com/ColinMaudry/fe30f024d3cea20d1f6ccd579d9acd3f#file-gendarmerie-csv,,,,accraccidentcorporeldelacirculationroutière
39,ACCRE,Aide aux chômeurs créateurs ou repreneurs d'entreprise,Sénat,https://www.senat.fr/histoire/sigles.html,,,,accreaideauxchômeurscréateursourepreneursdentreprise
40,ACDN,Action des citoyens pour le désarmement nucléaire.,M. Lafay - CCE-LR,http://www.cce-lrv.com/documents/images/general_photos/151_Fichier.pdf,,,,acdnactiondescitoyenspourledésarmementnucléaire
42,ACE,Action communautaire pour l'environnement,M. Lafay - CCE-LR,http://www.cce-lrv.com/documents/images/general_photos/151_Fichier.pdf,,,,aceactioncommunautairepourlenvironnement
